,Song ID,Spotify URI,Song Title,Performer,Region,Quarter,Quarterly Streams,Best Quarterly Position,Peak Position,Worst Position,Time On Chart,Consecutive Weeks,Instance,Previous Week,Chart URL
8129,The FallLovejoy,4HAKeNeh6pY1y0uHyrUyUU,The Fall,Lovejoy,gb,2021 Q4,541506,90,90,90,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-21
5204,"Money Calling (feat. RAYE, Russ Millions & wewantwraiths)Da Beatfreakz",58BJ5oUPX5ST2pjCtOSMkk,"Money Calling (feat. RAYE, Russ Millions & wewantwraiths)",Da Beatfreakz,gb,2021 Q4,541213,78,78,78,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-04
4818,Love Is BlindD-Block Europe,05eSfuRkkgRB4fs4Zt1EIc,Love Is Blind,D-Block Europe,gb,2021 Q4,537751,103,103,103,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-25
7848,Surface PressureJessica Darrow,760jhRscwGbIIe1m1IIQpU,Surface Pressure,Jessica Darrow,gb,2021 Q4,531277,132,132,132,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-12-30
8373,Throw It AwaySummer Walker,21DN44aYlSoyfOQcboC0IP,Throw It Away,Summer Walker,gb,2021 Q4,531042,86,86,86,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-11
1689,Come Over (Again)Crawlers,4PDJDIdWxNN1AlnbrKkoPf,Come Over (Again),Crawlers,gb,2021 Q4,530489,110,110,110,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-12-02
2047,Do It To ItACRAZE,20on25jryn53hWghthWWW3,Do It To It,ACRAZE,gb,2021 Q4,526333,81,81,81,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-04
5154,"MiskeenD-Block Europe, Jordan Morris, Tiny Boost",3WiU8VQpf42fBiDyAr7RfI,Miskeen,"D-Block Europe, Jordan Morris, Tiny Boost",gb,2021 Q4,519924,108,108,108,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-25
991,"Bitter - Narration By Cardi BSummer Walker, Cardi B",5cwnxz6QPfbOf731UPqphs,Bitter - Narration By Cardi B,"Summer Walker, Cardi B",gb,2021 Q4,511795,95,95,95,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-11
1235,Bubbly (with Drake & Travis Scott)Young Thug,4KDNRh9Oor80z3XIxdWlui,Bubbly (with Drake & Travis Scott),Young Thug,gb,2021 Q4,510296,98,98,98,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-21
1710,ConcreteLovejoy,1ESrGv8T855RXBQonIuL4l,Concrete,Lovejoy,gb,2021 Q4,505333,100,100,100,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-21
2986,Go HardJuice WRLD,7FAND3cHMvepHjpBp8gOZ9,Go Hard,Juice WRLD,gb,2021 Q4,501460,144,144,144,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-12-16
